pcode_commune,atmart_geo_id,nom_commune,lieux_culte_total,chretien,vodou,spiritualiste,musulman,autre,non_renseigne,source_id,licence,attribution,millesime,limite_connue,date_extraction
HT0632,HTC-0632,Belladère,10,10,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0641,HTC-0641,Cerca La Source,41,27,0,0,0,0,14,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0642,HTC-0642,Thomassique,3,3,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0711,HTC-0711,Les Cayes,76,69,1,0,0,0,6,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0712,HTC-0712,Torbeck,15,12,0,0,0,0,3,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0713,HTC-0713,Chantal,5,1,0,0,0,0,4,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0714,HTC-0714,Camp-Perrin,22,16,0,0,0,0,6,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0715,HTC-0715,Maniche,15,13,0,0,0,0,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0716,HTC-0716,Île à Vache,21,13,2,0,0,0,6,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0721,HTC-0721,Port-Salut,5,5,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0722,HTC-0722,Saint Jean du Sud,5,4,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0731,HTC-0731,Aquin,72,53,1,0,0,0,18,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0732,HTC-0732,Saint Louis du Sud,13,10,2,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0733,HTC-0733,Cavaillon,34,29,4,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0741,HTC-0741,Côteaux,1,1,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0742,HTC-0742,Port-à-Piment,1,0,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0751,HTC-0751,Chardonnières,1,1,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0752,HTC-0752,Les Anglais,3,3,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0753,HTC-0753,Tiburon,4,4,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0811,HTC-0811,Jérémie,17,9,0,0,0,0,8,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0813,HTC-0813,Bonbon,2,2,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0815,HTC-0815,Chambellan,2,2,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0821,HTC-0821,Anse d'Hainault,1,1,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0822,HTC-0822,Dame Marie,1,0,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0823,HTC-0823,Les Irois,2,2,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0831,HTC-0831,Corail,2,2,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0832,HTC-0832,Roseaux,2,2,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0833,HTC-0833,Beaumont,12,10,0,0,0,0,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0834,HTC-0834,Pestel,4,4,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0911,HTC-0911,Port-de-Paix,101,65,31,0,0,0,5,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0913,HTC-0913,Bassin Bleu,8,6,1,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0914,HTC-0914,Chamsolme,3,3,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0921,HTC-0921,Saint-Louis du Nord,2,2,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0922,HTC-0922,Anse-à-Foleur,13,6,7,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0931,HTC-0931,Môle Saint Nicolas,3,3,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0932,HTC-0932,Baie de Henne,14,11,3,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0933,HTC-0933,Bombardopolis,8,6,2,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0934,HTC-0934,Jean Rabel,8,7,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT1011,HTC-1011,Miragoâne,6,5,1,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT1012,HTC-1012,Petite Rivière de Nippes,6,5,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT1013,HTC-1013,Fonds des Nègres,4,2,0,0,0,0,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT1014,HTC-1014,Paillant,1,1,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT1021,HTC-1021,Anse-à-Veau,7,7,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT1022,HTC-1022,Petit Trou de Nippes,3,3,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT1023,HTC-1023,L'Asile,3,1,0,0,0,0,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT1025,HTC-1025,Plaisance du Sud,1,1,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT1031,HTC-1031,Baradères,3,2,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
