categorie,nom,sigle,numero_inscription,date_reconnaissance,adresse_siege,courriel,domaine_intervention,zones_declarees,departements_reconnus,communes_reconnues,pcodes_communes,methode_rattachement,nationalite,nationalite_source,moniteur,source_id,source,date_extraction,statut_valeur,niveau_qualite,version
ONG enregistrées (registre légal),Centres pour le Développement et la Santé,CDS,A-0143,24-May-89,"4, Imp. Alexis, Musseau",cds_ong@hotmail.com,Santé; Education; Assistance So-ciale,Cité Soleil,,Cité Soleil,HT0117,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 58-A - 9/7/90,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Centro de Estudios y Solidaridad con America Latina,CESAL,B-0520,,"19,ruelle Mangonese,Berthe,Petion Ville",,Agriculture,Ouest et Sud\&#039;Est,Ouest ; Sud,,,noms reconnus dans le texte libre des zones déclarées,Espagnole,Espagnole,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),"Cesvi Fondazione, Onlus",CESVI,B-0587,15-Feb-13,"29,Impasse Villa Ada, route de Frere,PV",lescayes@cesvioverseas.org,Agriculture,Limonade/Limonade/Saint-Raphaël,,Limonade ; Saint-Raphaël,HT0313 ; HT0341,noms reconnus dans le texte libre des zones déclarées,Italienne,Italienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Child Care Haïti,CCH,B-0199,20-Nov-95,"13, Rue Babiole",,Santé; Agriculture,"Baie de Henne, Mare-Rouge (Nord&#039;Ouest)",Ouest ; Nord,Baie de Henne,HT0932,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),"Children Care Outreach, Inc",CCO,B-0369,13-Dec-04,"Marcelin 2e Section Communale de Camp-Périn, localité de Mathurin",,Assistance Sociale,Mathurin et Tibi: quartier de la 2ème Section Communale de Camp-Perin,,,,zones déclarées non reconnues,Américaine,Américaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Children\\\&#039;s Nutrition Program of Hiati / Programme de Nutrition des Enfants d\\\&#039;Haiti,KORE TIMOUN,B-0609,28-Aug-14,"25, rue saint laurent chatule, leogane",kkelly@cnhaiti.org,sante,"fond de boudin, palmiste a vin, oraNGER",,,,zones déclarées non reconnues,Américaine,americaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Chosen Ministry,CM,B-0244,17-Jun-02,,,,,,,,aucune zone déclarée au registre,Américaine,Americaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Christian Aid,CA,B-0390,,"32, Rue Jean-Baptiste, Canapé-Vert",,Agriculture; Education; Assistance Sociale,"Port-au-Prince, La Gonâve, Petit-Goâve, Cayes",,Petit-Goâve ; Port-au-Prince,HT0111 ; HT0122,noms reconnus dans le texte libre des zones déclarées,Britanique,Britanique,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Christian Aid Ministries,CAM,B-0293,,"Rte. Ntle #1,Titanyen BP.15184. P.V",,Assistance Sociale; Education; Agriculture,N; O: Môle St. Nicolas Bombardopolis Art:Gros-Morne N; O: Anse Rouge,,Anse Rouge ; Bombardopolis ; Gros Morne,HT0521 ; HT0523 ; HT0933,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Christian Children&#039;s Fund Inc.,CCF,A-0104,23-Apr-87,"26, Ave. Ducoste, BP.2454, P-au-P",,Santé; Education; Développement Communautaire,Santé; Education; Développement Communautaire,,,,zones déclarées non reconnues,Américaine,Américaine,# 79 - 12/10/89,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Christian Haitian Outreach Inc,CHO,A-0040,21-Aug-84,"54, Rue Audant,Delmas 105",,Santé; Education; Agriculture,Santé; Education; Agriculture,,,,zones déclarées non reconnues,Américaine,Américaine,# 79 - 12/11/84,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Christian Reformed World Relief Committee,CRWRC,A-0093,2-Feb-87,"Delmas 77, Ruelle Praslin",,Santé; Education; Agriculture,"Artibonite, Sud&#039;Est, Ouest",Ouest ; Artibonite ; Sud,,,noms reconnus dans le texte libre des zones déclarées,Américaine,Américaine,# 40 - 11/5/87,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),"Christian World Outreach, Inc",CWO,A-0055,20-Dec-84,"10, Imp Vieux, Carrefour Lyson, Rte Ntle #1 Bon Repos",,Santé; Education; Nutrition,Santé; Education; Nutrition,,,,zones déclarées non reconnues,Américaine,Américaine,# 26 - 8/4/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Christianville Foundation Inc.,CF,A-0049,6-Nov-84,"Gressier, La Salle, BP.1693, P-au-P",,Education; Santé; Agriculture; Artisanat,Education; Santé; Agriculture; Artisanat,,,,zones déclarées non reconnues,Américaine,Américaine,# 3 - 10/01/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Christoffel Blindenmission/Christian Blind Mission e.V,CBM,B-0497,8-Feb-11,"157,Avenue Panamericaine,Petion-Ville",,Ass Technique Ass Humanitaire Aide au Devt,Carrefour,,Carrefour,HT0113,noms reconnus dans le texte libre des zones déclarées,Allemande,Allemande,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Church World Service,CWS,B-0667,28-Dec-21,"11, RuePrice Mars, Carrefour Djoumbala, rte de frere, Petion ville",mdegreef@cwsglobal.org,agriculture-developpement communautaire,Jean Rabel,,Jean Rabel,HT0934,noms reconnus dans le texte libre des zones déclarées,Américaine,americaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Clinton Health Access Initiative,CHAI,B-0539,23-Aug-11,"12,Juvenat 7,Petion-Ville",cconnell@clintonhealthaccess.org,Sante,Port-au-Prince Plateau Central,,Port-au-Prince,HT0111,noms reconnus dans le texte libre des zones déclarées,Américaine,Americaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Club de l&#039;Age d&#039;Or,CADOR,B-0302,24-Oct-02,"9, Rue Capois, P-au-P",,Assistance Sociale; Santé,Port-au-Prince,,Port-au-Prince,HT0111,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Club des Femmes de Carrières Libérales et Commerciales d&#039;Haïti,CFCLC,A-0138,26-Apr-89,"BP.1418, P-au-P",,Santé; Education; Promotion Sociale,Ouest,Ouest,,,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 96 - 14/12/89,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Club Louverture pour les Diners du Tanksgiving Day Haïtien,CLDTDH,A-0059,30-Apr-85,"Cité Soleil, Rue Croix Bleue # 80, BP.2362, P-au-P",,Santé; Education; Agriculture; Elevage,Cité Soleil,,Cité Soleil,HT0117,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 44 - 27/06/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Collaboration Santé International,CSI,B-0322,27-May-03,"Angle Rue 7 et José Matti, Turgeau",,Santé,Brondeau Petite Rivière de Nippes,Nippes,Petite Rivière de Nippes,HT1012,noms reconnus dans le texte libre des zones déclarées,Canadienne,Canadienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Collectif Action Pour le Développement,CADEV,B-0350,15-Apr-04,"2ème Ruelle Lavaud # 1, Port-au-Prince",,Agriculture Santé Education civique,Corail (grand’Anse),Grand'Anse,Corail,HT0831,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Collectif d\&#039;Actions pour le Développement du Nord\&#039;Ouest,CADNO,B-0366,,"65 bis, Avenue Lamartinière",,Assistance Sociale,"Commune du Môle St. Nicolas, Sont-Louis du Nord, Port de Paix",Nord,Port-de-Paix,HT0911,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comitato Internazionale Per lo Sviluppo Dei Popoli / Comite International pour le Developpement des Peuples,CISP,B-0227,17-Jan-11,"25, Village les Palmes, Tabarre-Torcelle",,Ass Technique Ass Humanitaire Aide au Devt,"Delmas, Croix-des-Bouquets",,Croix-Des-Bouquets ; Delmas,HT0112 ; HT0131,noms reconnus dans le texte libre des zones déclarées,Italienne,Italienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comité Conjoint des Organisations pour la Restauration de l&#039;Environnement,CCORE,B-0639,14-Aug-18,"Dorima, route blocas, Port-de-paix",ccoreopdd@yahoo.fr,agriculture-education-assistance-environnement,Nord-ouest,Ouest ; Nord ; Nord-Ouest,,,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haitienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comité d&#039;Aide et de Développement de Dussaulier,CADD,B-0346,24-Nov-03,"Blockhauss 1, St-Marc (derrière l&#039;EDH), BP.026, St-Marc",,Agriculture; Education; Santé,St-Marc,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comité d\&#039;Organisation de l\&#039;île de la Gonave,CODIG,B-0616,16-Mar-15,,,"environnement, sante, education,agriculture",ile de la gonave,,,,zones déclarées non reconnues,Haïtienne,Haitienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comité de Bienfaisance de Pignon,CBP,A-0029,14-Jun-84,"Pignon, Rue Donneur, BP.13206, Delmas",guytheo441@gmail.comnmarieadelegmail.com,Santé; Education,Pignon,,Pignon,HT0344,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,"# 64, 6/9/85",SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comité de Relèvement et de Coopération pour l&#039;Avancement d&#039;Haïti,CORCAH,B-0372,5-Jul-05,"93, Rue de L&#039;Enterrement, P-au-P",,Agriculture,Anse d&#039;Hainault,,,,zones déclarées non reconnues,Américaine,Américaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comité de Soutien a l&#039;Epanouissement de Vieux Bourg d&#039;Aquin et du Sud d&#039;Haïti,COSEVBASH,B-0317,22-May-03,"Rte. Nle. # 2, Vieux Bourg d&#039;Aquin, 40, Hôpital Charles Pasqua 9, Impasse Jeanco, Christ-Roi, Port-au-Prince B.P 15141 P-V E-mail:cosevbashonghaiti@yahoo.fr",,Electrification; Santé,Sud Bourg d&#039;Aquin,Sud,Aquin,HT0731,noms reconnus dans le texte libre des zones déclarées,Française,Française,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comité Haïtien de Développement,CHADEV,A-0019,8-Feb-84,"100, Ave. Lamartinière, BP.241, P-au-P",,Education; Santé; Développement Communautaire,Croix Fer,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comité Limbeen de Développement et de Planification,COLIDEP,A-0091,31-Jul-86,"Ave. Pétion, Limbé",,Développement Communautaire,Limbé,,Limbé,HT0361,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 81 - 6/10/86,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comité National de Solidarité Laïque,CNSL,B-0267,15-Nov-99,"14, Rue Abbé Huet, Jérémie",,. Education . Assistance Sociale,Grande Anse: Jérémie,,Jérémie,HT0811,noms reconnus dans le texte libre des zones déclarées,Française,Française,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comité Protos Haïti,CPH,B-0329,23-Jul-03,"14, Rue H. Rimpel, P-au-P",cph.paup@yahoo.fr,Eau Potable,Belladère et Localité,,Belladère,HT0632,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Compassion International,CI,A-0006,12-Nov-83,"438, Delmas, BP.2539, P-au-P",,Education,Haïti,,,,zones déclarées non reconnues,Américaine,Américaine,# 84-A - 01/12/1983,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Compassion of Christ Word Mission,CCWM,B-0370,,"Rte Ntle #2, Merger,Gressier",,Education,Merger,,,,zones déclarées non reconnues,Américaine,Américaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Complexe Educatif et Evangelique L\&#039;amour du Bon Berger,CEEABB,B-0477,22-Jun-10,"Blvd 15 Octobre, Tabarre 28A",,Assistance Sociale Education,Tabarre,,Tabarre,HT0118,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Comunita Impeno Servizio Volontariato,CISV,B-0649,26-Nov-18,"Rue du Docteur V. Noel, Peguy-Ville",admcisvhaiti@yahoo.fr,Beausejour et Valle de jacmel,agriculture,,,,zones déclarées non reconnues,Italienne,italienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Concern Worldwide,CW,B-0263,,"28, Rue Métellus, PV, HAITI",haiti@haitimail.org,Assistances Sociales; Santé,"St; Martin, P-au-P",,,,zones déclarées non reconnues,Irlandaise,Irlandaise,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Concile des Eglises Evangéliques d&#039;Haïti,CEEH,A-0007,17-Nov-83,"Route Nationale # 1, Cazeau, BP. 2475, P-au-P",,Agriculture; Santé; Eau Potable,Agriculture; Santé; Eau Potable,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,# 71 - 4/10/84,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Congres National Haitien,CNH,B-0478,17-Apr-11,"Complexe Trans Auto,Rte de l&#039;Aeroport",,Agriculture,Agriculture,,,,zones déclarées non reconnues,Américaine,Americaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Convention Baptiste d&#039;Haïti,CBH,A-0035,3-Aug-84,"Route Nationale # 1, BP 2101, P-au-P",,Santé; Développement Communautaire,Santé; Développement Communautaire,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,# 71 - 4/10/84,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Cooperation Haitiano Neerlandaise,COHAN,A-0020,,"Rue Soleil, Parc Industriel, BP.2395, P-au-P",,Santé; Education; Agriculture,Santé; Education; Agriculture,,,,zones déclarées non reconnues,Néerlandaise,Hollandaise,"# 26, 8/4/85",SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Coopération pour le Développement Intégré et la Promotion Paysanne,CODIPP,A-0043,30-Aug-84,"113, Rue des Miracles, P-au-P",,Agriculture; Santé; Education,Léogane,,Léogâne,HT0121,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 71 - 4/11/84,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Cooperative For American Relief EveryWhere,CARE,A-0008,17-Nov-83,"92, Rue Grégoire, BP.15546, P-au-P",carehaiti@pap.care.org,Agriculture; Santé; Education; Eau potable; Nutrition; Développement Communautaire,Ouest; Nord; Grand\&#039;Anse; Artibonite; Nord\&#039;Ouest; Nippes; Sud,Ouest ; Nord ; Artibonite ; Sud ; Nippes,,,noms reconnus dans le texte libre des zones déclarées,Américaine,Américaine,# 67 - 23/9/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Cooperative Housing Fondation,CHF,B-0234,8-Apr-96,"#4, Juvenat 5, Petion-Ville",boakes@haiti.chfinternational.org,Travaux Publics; Environnement,Haitï,,,,zones déclarées non reconnues,Américaine,Américaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Cooperazione Internazionale,COOPI,B-0563,19-Feb-15,"2, rue maranatha, Belvil",haiti@coopi.org,Environnement,"Cite-soleil,Port-au-prince, Tabarre",,Cité Soleil ; Port-au-Prince ; Tabarre,HT0111 ; HT0117 ; HT0118,noms reconnus dans le texte libre des zones déclarées,,,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Coordination Citoyenne pour les Grands Chantiers de Développement Communautaire,COCIDECHC,B-0571,,"162,rue Stenio Vincent,petite riviere de l\&#039;Artibonte",cocidechc@yahoo.fr,"Agriculture, Elvage",Marchand Dessalines,,Dessalines,HT0541,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haitienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Coordination Emmaus d&#039;Haïti en Action,CEHA,B-0316,10-Apr-03,"Delmas 19, Imp. Sauge, rue Maranatha # 9",,Agriculture,Agriculture,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Coordination pour des Actions en Santé et en Développement d&#039;Haïti,COSADH,B-0377,16-Aug-05,"Rue 3, Avenue Christophe, P-au-P",,Agriculture,Lascahobas,,Lascahobas,HT0631,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Corporacion Antioquia Presente,CAP,B-0228,17-Jan-11,"Fond Mombin,Rte Nationale#1",,Ass Technique Ass Humanitaire Aide au Devt,"Cabaret, Ouest",Ouest,Cabaret,HT0142,noms reconnus dans le texte libre des zones déclarées,Colombienne,Colombienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Corps de Secours de Malte / Malteser Hilfsdienst e.V,MHD,B-0521,16-May-11,"318,rue Bongars,Belvil 3,rte de Freres",,Sante,Leogane,,Léogâne,HT0121,noms reconnus dans le texte libre des zones déclarées,Allemande,Allemande,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Coude a Coude pour le Développement Valleen,CODEVA,A-0065,5-Jul-85,La Vallée de Jacmel,,Développement Communautaire,Jacmel,,Jacmel,HT0211,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 67 - 23/9/85,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Croatian Relief Services,CRES,B-0493,24-Sep-10,"3, Bon Repos,Rue Gradagel",,Ass; tchnique Ass humanitaire Aide au Devt,Ouest(Commune de Delmas),Ouest,Delmas,HT0112,noms reconnus dans le texte libre des zones déclarées,Américaine,Americaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),"Cross To Light, Inc",CTL,B-0612,19-Fev-15,"#16, rue reme, rue cassagnol, delmas75",brian@croretolight.com,eau et assainissement,Port-au-Prince,,Port-au-Prince,HT0111,noms reconnus dans le texte libre des zones déclarées,etat tennessee,etat tennessee,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Deep Springs International Inc.,DSI,B-0572,19-Feb-15,"25,rue St-Laurent,Leogâne",michael.ritter2@gmail.com,"Assainissament,Eau potable,Sante",Ouest(Leogâne),Ouest,Léogâne,HT0121,noms reconnus dans le texte libre des zones déclarées,Américaine,Americaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Délégation Catholique pour la Coopération,DCC,B-0235,4-Apr-96,Collège Saint-Louis de Gonzague,,Education,Haïti,,,,zones déclarées non reconnues,Française,Française,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Development Activities And Services For Health,DASH,A-0076,,"87,Rue Oswald Durand, Delmas # 190, P-au-P",josephmardochee079@gmail.com,Santé,Saint Marc,,Saint-Marc,HT0531,noms reconnus dans le texte libre des zones déclarées,Américaine,Américaine,# 108 - 28/12/87,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Development Innovation Group-Haiti,DIG-Haiti,B-0527,9-Jun-11,"86bis, Rue Panamericaine, Petion-Ville",admin@dig-haiti.com,Assistance Technique,Port-au-Prince Delmas Petion-Ville Leogane,,Delmas ; Léogâne ; Port-au-Prince ; Pétion-Ville,HT0111 ; HT0112 ; HT0114 ; HT0121,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Developpement For Freedom International-Haiti,DFI-HAITI,B-0677,,,,,,,,,aucune zone déclarée au registre,,,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Développement International Desjardins,DID,B-0261,15-Jul-97,"58, RUE VILATTE Petion Ville, Haiti",,Coopératif,Ouest,Ouest,,,noms reconnus dans le texte libre des zones déclarées,Canadienne,Canadienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Développement-Formation-Iformation,DEFI,B-0438,10-Mar-08,"17, Rue Wilson 2, Pacot",,Environnement; Santé; Education,Port-au-prince Jacmel Jérémie Hinche Cayes,,Hinche ; Jacmel ; Jérémie ; Port-au-Prince,HT0111 ; HT0211 ; HT0611 ; HT0811,noms reconnus dans le texte libre des zones déclarées,Française,Française,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Douleurs Sans Frontières,DSF,B-0611,19-Fev-15,"#5, rue garoute, pacot, Port-au-Prince",bsalla@douleurs.org,sante,Martissant,,,,zones déclarées non reconnues,Française,francaise,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Ecole Technique Agricole de Dutruche,ETAD,A-0118,23-Nov-87,"13, Rue O, Turgeau, P-au-P",,Formation Agricole,Formation Agricole,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,# 4 - 14/01/88,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
