pcode_commune,atmart_geo_id,nom_commune,caisses_desservant,sigles,source_id,source,millesime,limite_connue,date_extraction
HT0731,HTC-0731,Aquin,1,CAPOSAC,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0733,HTC-0733,Cavaillon,1,CAPUC,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0742,HTC-0742,Port-à-Piment,1,CPCS,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0751,HTC-0751,Chardonnières,1,CPCS,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0811,HTC-0811,Jérémie,1,CAPAJ,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0812,HTC-0812,Abricots,1,CAPAJ,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0821,HTC-0821,Anse d'Hainault,1,CPC (Anse- d'Hainault),SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0822,HTC-0822,Dame Marie,1,CPDAM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0911,HTC-0911,Port-de-Paix,2,KOPLES SOCEM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0913,HTC-0913,Bassin Bleu,1,KOPLES,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0921,HTC-0921,Saint-Louis du Nord,1,COOPECS,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0922,HTC-0922,Anse-à-Foleur,1,COOPECS,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0931,HTC-0931,Môle Saint Nicolas,1,CAPOMAR,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0933,HTC-0933,Bombardopolis,1,CAPOMAR,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0934,HTC-0934,Jean Rabel,1,SOCOREDNO,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT1011,HTC-1011,Miragoâne,1,COTEM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT1012,HTC-1012,Petite Rivière de Nippes,2,CECANIPPES COTEM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT1013,HTC-1013,Fonds des Nègres,1,CAPOSAJ,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT1023,HTC-1023,L'Asile,1,KPLAN,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT1031,HTC-1031,Baradères,1,CAPODEB,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
