fichier,licence_sortante,regime,pourquoi,sources,attribution,provenance_attestee_par,clauses_declenchees
atmart_sols_communes.json,CC BY 4.0,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,"ISRIC — World Soil Information, SoilGrids 2.0 (CC BY 4.0). Poggio et al. 2021, SOIL 7:217-240.",licence déclarée dans l'en-tête,
atmart_telecom_communes_HT.csv,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-036,OpenStreetMap (contributeurs) via Overpass API,déclarée dans le fichier,SRC-036 (ODbL 1.0)
atmart_tourisme_communes.json,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-028,Humanitarian OpenStreetMap Team (HOT) via HDX,déclarée dans le fichier,SRC-028 (ODbL 1.0)
atmart_tourisme_communes_HT.csv,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-028,Humanitarian OpenStreetMap Team (HOT) via HDX,déclarée dans le fichier,SRC-028 (ODbL 1.0)
atmart_transferts_departements.json,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-061,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_transferts_departements_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-061,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_transferts_pays.json,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-060,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_transferts_pays_mensuel.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-060,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_urbanisation_communes.json,CC BY 4.0,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,"© European Union, 1995-2025 — Global Human Settlement Layer (GHSL), produits GHS-BUILT-S R2023A (4326/3ss, V1-0) et GHS-SMOD R2023A (4326/30ss, V2-0), Joint Research Centre. Citation obligatoire de l'article de référence : Pesaresi, M., Schiavina, M., Politis, P., Freire, S., Krasnodębska, K., Uhl, J. H., … Kemper, T. (2024), « Advances on the Global Human Settlement Layer by joint assessment of Earth Observation and population survey data », International Journal of Digital Earth, 17(1), doi:10.1080/17538947.2024.2390454. Le producteur précise qu'une citation du seul site GHSL est insuffisante.",licence déclarée dans l'en-tête,
catalogue_manifest.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-ATM-001,Atmart Data,catalogue manifeste du catalogue,
haiti_communes_simplifie.geojson,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-001,CNIGS / UN OCHA,catalogue contour CNIGS simplifie,
haiti_contour_simplifie.geojson,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-001,CNIGS / UN OCHA,catalogue contour CNIGS simplifie,
haiti_departements_simplifie.geojson,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-001,CNIGS / UN OCHA,catalogue contour CNIGS simplifie,
haiti_regions_enquete_simplifie.geojson,à déclarer,provenance non déclarée,Ce fichier ne porte aucun source_id et n'a pas d'entrée au catalogue. Sa licence ne peut pas être calculée tant que son producteur ne déclare pas ses sources.,,,aucune,
transferts_diaspora_haiti_2000_2025.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-015,Banque mondiale,catalogue PRD-001,
